cokey,chkey,hzname,hzdept_r,hzdepb_r,om_l,om_r,om_h,cec7_l,cec7_r,cec7_h,ph1to1h2o_l,ph1to1h2o_r,ph1to1h2o_h,awc_r,ksat_r,dbthirdbar_r,mukey,compname,comppct_r,drainagecl,taxorder,taxgrtgroup,musym,muname,sand_pct,silt_pct,clay_pct
26819866,80054212,Ap,0,25,2.0,2.5,3.0,5.5,9.5,13.6,5.3,6.1,6.9,0.19,9.17,1.42,542715,Abbottstown,85,Somewhat poorly drained,Alfisols,Fragiaqualfs,AbB,"Abbottstown silt loam, 3 to 8 percent slopes",29.1,53.4,17.5
26819460,80052681,A,0,10,2.0,5.0,6.0,7.0,10.8,14.5,4.5,5.5,6.5,0.19,9.17,1.25,542716,Abbottstown,90,Somewhat poorly drained,Alfisols,Fragiaqualfs,AsB,"Abbottstown extremely stony silt loam, 3 to 8 percent slopes",29.1,53.4,17.5
26819467,80052708,Ap,0,25,2.0,3.0,4.0,7.5,13.2,18.8,4.1,5.4,6.6,0.22,2.82,1.3,542717,Baile,85,Poorly drained,Ultisols,Endoaquults,Ba,Baile silt loam,21.7,54.8,23.5
26819469,80052716,Ap,0,23,1.5,2.25,3.0,7.5,11.0,14.5,4.5,5.9,7.3,0.16,9.17,1.35,542718,Bedington,90,Well drained,Ultisols,Hapludults,BdA,"Bedington silt loam, 0 to 3 percent slopes",26.5,53.5,20.0
26819475,80052736,H1,0,25,1.0,2.0,3.0,8.1,10.8,13.6,4.5,5.9,7.3,0.16,9.17,1.35,542719,Bedington,75,Well drained,Ultisols,Hapludults,BdB,"Bedington silt loam, 3 to 8 percent slopes",26.5,53.5,20.0
26819479,80052751,H1,0,25,1.0,2.0,3.0,8.1,10.8,13.6,4.5,5.9,7.3,0.16,9.17,1.35,542720,Bedington,75,Well drained,Ultisols,Hapludults,BdC,"Bedington silt loam, 8 to 15 percent slopes",26.5,53.5,20.0
26819484,80052770,H1,0,23,1.0,2.0,3.0,15.0,20.0,25.0,4.5,5.9,7.3,0.14,9.17,1.35,542721,Bedington,85,Well drained,Ultisols,Hapludults,BeD,"Bedington channery silt loam, 15 to 25 percent slopes",26.5,53.5,20.0
26819490,80052793,Ap,0,25,2.0,3.0,4.0,5.5,11.2,16.8,4.2,5.4,6.6,0.16,9.17,1.5,542722,Blairton,90,Moderately well drained,Ultisols,Hapludults,Bm,"Blairton silt loam, 3 to 10 percent slopes",27.1,54.4,18.5
26819493,80052799,Ap,0,18,3.0,3.5,4.0,5.5,7.4,9.3,5.1,5.8,6.5,0.18,9.17,1.3,542723,Bowmansville,90,Somewhat poorly drained,Inceptisols,Endoaquepts,Bo,Bowmansville silt loam,30.5,56.0,13.5
26819694,80053513,Ap,0,20,1.0,2.0,3.0,5.5,8.3,11.0,4.5,6.0,6.0,0.13,9.17,1.25,542724,Brecknock,90,Well drained,Alfisols,Hapludalfs,BrB,"Brecknock gravelly silt loam, 3 to 8 percent slopes",30.1,54.9,15.0
26819702,80053545,Ap,0,20,1.0,2.0,3.0,5.5,8.3,11.0,4.5,6.0,6.0,0.13,9.17,1.25,542725,Brecknock,90,Well drained,Alfisols,Hapludalfs,BrC,"Brecknock gravelly silt loam, 8 to 15 percent slopes",30.1,54.9,15.0
26819706,80053558,A,0,12,1.0,2.0,3.0,5.5,8.3,11.0,4.5,5.4,6.0,0.13,9.17,1.25,542726,Brecknock,90,Well drained,Alfisols,Hapludalfs,BsB,"Brecknock very stony silt loam, 3 to 8 percent slopes",30.1,54.9,15.0
26819710,80053574,A,0,12,1.0,2.0,3.0,5.5,8.3,11.0,4.5,5.4,6.0,0.13,9.17,1.25,542727,Brecknock,90,Well drained,Alfisols,Hapludalfs,BsC,"Brecknock very stony silt loam, 8 to 25 percent slopes",30.1,54.9,15.0
26819718,80053605,Ap,0,15,1.5,2.25,3.0,4.8,9.7,14.5,4.5,5.4,6.6,0.22,7.76,1.4,542728,Bucks,90,Well drained,Ultisols,Hapludults,BuA,"Bucks silt loam, 0 to 3 percent slopes",29.1,53.4,17.5
26819723,80053625,Ap,0,15,1.5,2.25,3.0,4.8,9.7,14.5,4.5,5.4,6.6,0.22,7.76,1.4,542729,Bucks,90,Well drained,Ultisols,Hapludults,BuB,"Bucks silt loam, 3 to 8 percent slopes",29.1,53.4,17.5
26819727,80053641,Ap,0,15,1.5,2.25,3.0,4.8,9.7,14.5,4.5,5.4,6.6,0.22,7.76,1.4,542730,Bucks,90,Well drained,Ultisols,Hapludults,BuC,"Bucks silt loam, 8 to 15 percent slopes",29.1,53.4,17.5
26819499,80052824,Ap,0,15,1.5,2.25,3.0,4.8,9.7,14.5,4.5,5.4,6.6,0.22,7.76,1.4,542731,Bucks,90,Well drained,Ultisols,Hapludults,BuD,"Bucks silt loam, 15 to 25 percent slopes",29.1,53.4,17.5
26819503,80052840,A,0,15,1.5,2.25,3.0,4.8,9.7,14.5,4.5,5.4,6.6,0.22,7.76,1.4,542732,Bucks,90,Well drained,Ultisols,Hapludults,BxC,"Bucks very stony silt loam, 8 to 25 percent slopes",29.1,53.4,17.5
26819833,80054034,Ap,0,25,1.33,3.25,7.27,10.0,11.5,13.0,4.0,5.0,6.6,0.18,12.0,1.36,542733,Chester,80,Well drained,Ultisols,Hapludults,CbA,"Chester silt loam, 0 to 3 percent slopes",23.1,54.6,22.3
26819823,80054014,Ap,0,25,1.33,3.25,7.27,10.0,11.5,13.0,4.0,5.0,6.6,0.18,12.0,1.37,542734,Chester,80,Well drained,Ultisols,Hapludults,CbB,"Chester silt loam, 3 to 8 percent slopes",23.1,54.6,22.3
26819829,80054049,Ap,0,25,1.33,3.25,7.27,10.0,11.5,13.0,4.0,5.0,6.6,0.18,12.0,1.37,542735,Chester,80,Well drained,Ultisols,Hapludults,CbC,"Chester silt loam, 8 to 15 percent slopes",23.1,54.6,22.3
26819505,80052847,Ap,0,20,1.0,2.0,3.0,8.9,15.9,22.7,5.1,5.8,6.5,0.17,9.17,1.3,542736,Clarksburg,95,Moderately well drained,Alfisols,Fragiudalfs,CkA,"Clarksburg silt loam, 0 to 5 percent slopes",27.1,54.4,18.5
26819506,80052851,A,0,18,2.0,3.0,4.0,6.0,8.4,10.8,4.2,5.4,6.6,0.13,9.17,1.3,542737,Clymer,90,Well drained,Ultisols,Hapludults,ClB,"Clymer very stony loam, 3 to 8 percent slopes",41.6,37.4,21.0
26819513,80052874,A,0,18,2.0,3.0,4.0,6.0,8.4,10.8,4.2,5.4,6.6,0.13,9.17,1.3,542738,Clymer,90,Well drained,Ultisols,Hapludults,ClD,"Clymer very stony loam, 8 to 25 percent slopes",41.6,37.4,21.0
26819514,80052877,A,0,18,2.0,3.0,4.0,6.0,8.4,10.8,4.2,5.4,6.6,0.13,9.17,1.3,542739,Clymer,90,Well drained,Ultisols,Hapludults,ClF,"Clymer very stony loam, 25 to 50 percent slopes",41.6,37.4,21.0
26819517,80052888,A,0,30,2.0,3.0,4.0,3.5,7.6,11.7,4.5,5.3,6.0,0.17,9.17,1.3,542740,Comus,90,Well drained,Inceptisols,Dystrudepts,Cm,Comus silt loam,32.3,56.2,11.5
26819885,80054306,Ap,0,25,2.0,2.5,3.0,8.2,10.9,13.6,4.5,6.5,7.0,0.21,9.17,1.44,542741,Conestoga,90,Well drained,Alfisols,Hapludalfs,CnA,"Conestoga silt loam, 0 to 3 percent slopes",26.0,54.0,20.0
26819892,80054320,Ap,0,25,2.0,3.0,4.0,6.5,10.9,14.7,6.6,7.0,7.3,0.2,9.0,1.38,542742,Conestoga,95,Well drained,Alfisols,Hapludalfs,CnB,"Conestoga silt loam, 3 to 8 percent slopes",20.0,60.0,20.0
26819520,80052898,Ap,0,25,2.0,2.5,3.0,7.5,11.0,14.5,4.5,6.5,7.0,0.18,9.17,1.3,542743,Conestoga,90,Well drained,Alfisols,Hapludalfs,CnC,"Conestoga silt loam, 8 to 15 percent slopes",26.5,53.5,20.0
26819848,80054095,Ap,0,25,2.0,3.0,4.0,8.2,10.9,14.7,6.1,6.7,7.3,0.17,9.17,1.34,542744,Duffield,90,Well drained,Alfisols,Hapludalfs,DbA,"Duffield silt loam, 0 to 3 percent slopes",21.0,59.0,20.0
26819852,80054182,Ap,0,25,2.0,3.0,4.0,8.2,10.9,14.7,6.1,6.7,7.3,0.17,9.17,1.34,542745,Duffield,90,Well drained,Alfisols,Hapludalfs,DbB,"Duffield silt loam, 3 to 8 percent slopes",21.0,59.0,20.0
26819729,80053648,H1,0,25,0.5,1.75,3.0,5.0,10.0,15.0,4.5,5.5,6.5,0.21,9.17,1.3,542746,Elk,85,Well drained,Alfisols,Hapludalfs,EcA,"Elk silt loam, 0 to 3 percent slopes",11.7,69.8,18.5
26819732,80053658,H1,0,25,0.5,1.75,3.0,5.0,10.0,15.0,4.5,5.5,6.5,0.21,9.17,1.3,542747,Elk,85,Well drained,Alfisols,Hapludalfs,EcB,"Elk silt loam, 3 to 8 percent slopes",11.7,69.8,18.5
26819739,80053679,Ap,0,25,2.0,2.5,3.0,4.8,10.1,15.3,4.5,6.5,7.0,0.21,9.17,1.3,542748,Elk,90,Well drained,Alfisols,Hapludalfs,EcC,"Elk silt loam, 8 to 15 percent slopes",11.7,69.8,18.5
26819743,80053692,Ap,0,25,2.0,2.5,3.0,4.8,10.1,15.3,4.5,6.5,7.0,0.21,9.17,1.3,542749,Elk,65,Well drained,Alfisols,Hapludalfs,Eu,Elk-Urban land complex,11.7,69.8,18.5
26819871,80054278,Ap,0,23,1.0,2.5,4.0,,,,3.6,4.8,6.0,0.18,28.23,1.51,542750,Linden,30,Well drained,Inceptisols,Dystrudepts,Le,"Lindside-Linden complex, 0 to 3 percent slopes, frequently flooded",45.0,41.0,14.0
26819873,80054281,Ap,0,20,2.0,3.0,4.0,8.2,11.4,14.2,5.1,6.5,7.8,0.2,9.0,1.4,542750,Lindside,60,Moderately well drained,Inceptisols,Eutrudepts,Le,"Lindside-Linden complex, 0 to 3 percent slopes, frequently flooded",45.0,41.0,14.0
26819836,80054255,Ap,0,20,1.0,2.5,6.0,,,,3.8,5.4,7.2,0.19,9.17,1.4,542751,Glenelg,85,Well drained,Ultisols,Hapludults,GbB,"Glenelg silt loam, 3 to 8 percent slopes",20.0,60.0,20.0
26819860,80054261,Ap,0,20,1.0,2.5,6.0,,,,3.8,5.4,7.2,0.19,9.17,1.4,542752,Glenelg,85,Well drained,Ultisols,Hapludults,GbC,"Glenelg silt loam, 8 to 15 percent slopes",20.0,60.0,20.0
26819526,80052917,Ap,0,20,1.5,2.0,2.5,,,,4.5,5.4,6.6,0.19,9.17,1.3,542753,Glenelg,90,Well drained,Ultisols,Hapludults,GbD,"Glenelg silt loam, 15 to 25 percent slopes",26.5,53.5,20.0
26819843,80054008,Ap,0,27,1.0,3.0,6.0,5.4,8.2,14.8,6.0,6.8,7.3,0.2,9.0,1.4,542754,Glenville,75,Moderately well drained,Ultisols,Fragiudults,GdB,"Glenville silt loam, 3 to 8 percent slopes",30.0,55.0,15.0
26819876,80054270,Ap,0,18,1.6,3.0,7.0,4.8,7.8,10.1,5.1,6.0,7.2,0.17,23.29,1.43,542755,Hagerstown,90,Well drained,Alfisols,Hapludalfs,HaA,"Hagerstown silt loam, 0 to 3 percent slopes",15.0,64.0,21.0
26819853,80054102,Ap,0,18,1.6,3.0,7.0,2.3,7.8,12.6,5.1,6.0,7.2,0.17,23.29,1.42,542756,Hagerstown,90,Well drained,Alfisols,Hapludalfs,HaB,"Hagerstown silt loam, 3 to 8 percent slopes",15.0,64.0,21.0
26819532,80052938,Ap,0,25,2.0,3.0,4.0,7.5,14.5,21.5,4.5,5.5,6.5,0.2,23.29,1.3,542757,Hagerstown,90,Well drained,Alfisols,Hapludalfs,HbC,"Hagerstown silty clay loam, 8 to 15 percent slopes",18.0,54.5,27.5
26819533,80052941,Ap,0,25,1.0,2.0,3.0,7.5,14.5,21.5,4.5,5.5,6.5,0.2,23.29,1.3,542758,Hagerstown,90,Well drained,Alfisols,Hapludalfs,HbD,"Hagerstown silty clay loam, 15 to 30 percent slopes",18.0,54.5,27.5
26819539,80052961,Ap,0,25,2.0,3.0,4.0,7.5,14.5,21.5,4.5,5.5,6.5,0.2,23.29,1.3,542759,Hagerstown,55,Well drained,Alfisols,Hapludalfs,Hc,Hagerstown-Urban land complex,20.5,54.5,25.0
26819540,80052964,H1,0,25,2.0,2.5,3.0,7.5,14.5,21.5,4.5,5.5,6.5,0.2,23.29,1.3,542759,Urban land,35,,,,Hc,Hagerstown-Urban land complex,20.5,54.5,25.0
26819548,80052994,Ap,0,20,2.0,3.0,4.0,5.5,9.0,12.5,5.6,6.5,7.3,0.18,9.17,1.3,542760,Hollinger,90,Well drained,Alfisols,Hapludalfs,HfA,"Hollinger silt loam, 0 to 3 percent slopes",30.1,54.9,15.0
26819550,80053001,Ap,0,20,2.0,3.0,4.0,5.5,9.0,12.5,5.6,6.5,7.3,0.18,9.17,1.3,542761,Hollinger,90,Well drained,Alfisols,Hapludalfs,HfB,"Hollinger silt loam, 3 to 8 percent slopes",30.1,54.9,15.0
26819556,80053020,Ap,0,20,2.0,3.0,4.0,5.5,9.0,12.5,5.6,6.5,7.3,0.18,9.17,1.3,542762,Hollinger,90,Well drained,Alfisols,Hapludalfs,HfC,"Hollinger silt loam, 8 to 15 percent slopes",30.1,54.9,15.0
26819566,80053056,Ap,0,20,1.0,2.0,3.0,5.5,9.0,12.5,5.6,6.5,7.3,0.18,9.17,1.3,542763,Hollinger,90,Well drained,Alfisols,Hapludalfs,HfD,"Hollinger silt loam, 15 to 25 percent slopes",30.1,54.9,15.0
26819570,80053072,Ap,0,18,2.0,3.5,5.0,8.2,11.5,14.8,5.6,6.5,7.3,0.22,9.17,1.3,542764,Holly,94,Poorly drained,Inceptisols,Endoaquepts,Hg,Holly silt loam,26.3,52.7,21.0
26819746,80053700,Ap,0,20,2.0,3.0,4.0,5.5,7.3,9.0,4.5,5.4,6.6,0.2,9.17,1.3,542765,Lansdale,92,Well drained,Ultisols,Hapludults,LaB,"Lansdale loam, 3 to 8 percent slopes",45.7,41.8,12.5
26819748,80053707,Ap,0,20,2.0,3.0,4.0,5.5,7.3,9.0,4.5,5.4,6.6,0.2,9.17,1.3,542766,Lansdale,92,Well drained,Ultisols,Hapludults,LaC,"Lansdale loam, 8 to 15 percent slopes",45.7,41.8,12.5
26819750,80053715,Ap,0,20,1.5,2.25,3.0,5.5,7.3,9.0,4.5,5.4,6.6,0.2,9.17,1.3,542767,Lansdale,92,Well drained,Ultisols,Hapludults,LaD,"Lansdale loam, 15 to 25 percent slopes",45.7,41.8,12.5
26819752,80053723,Ap,0,18,2.0,2.5,3.0,9.1,13.3,17.3,5.1,6.2,7.3,0.19,9.17,1.3,542768,Lehigh,80,Moderately well drained,Alfisols,Hapludalfs,LbB,"Lehigh silt loam, 3 to 8 percent slopes",30.1,54.9,15.0
26819756,80053741,Ap,0,18,2.0,2.5,3.0,9.1,13.3,17.3,5.1,6.2,7.3,0.19,9.17,1.3,542769,Lehigh,85,Moderately well drained,Alfisols,Hapludalfs,LbC,"Lehigh silt loam, 8 to 15 percent slopes",30.1,54.9,15.0
